订阅额度总览 · 套餐 × 实际服务模型
默认月 = 4 周，Kimi独立月池 = 周池×5；饱和使用；全口径 token；按量 API 无月额度
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月   服务模型                    月额度(亿)  $/MTok   置信度
142   GLM Coding Lite (v3 ¥118) 中间值   CNY 118   GLM 5.3                     3.17        0.05491  high
143   GLM Coding Lite (v2 ¥49) 中间值    CNY 49    GLM 5.3                     3.17        0.0228   high
144   OpenCode Go                        USD 10    Kimi K2.6                   3.151       0.03174  medium
145   Kimi 会员 99 †                     CNY 99    Kimi K2.7 Code              3.14        0.04651  medium
146   Command Code GOAT                  USD 10    Hy4 Preview                 2.957       0.03382  medium
147   Kimi 会员 99 †                     CNY 99    Kimi K3                     2.9         0.05036  medium
148   Command Code GOAT                  USD 10    Qwen3.6 Plus                2.779       0.03598  medium
149   OpenCode Go                        USD 10    Kimi K2.7 Code              2.731       0.03662  medium
150   Command Code GOAT                  USD 10    Kimi K2.7 Code              2.731       0.03662  medium
151   Ollama Pro                         USD 20    Kimi K2.7 Code              2.731       0.07323  medium
152   Ollama Pro                         USD 20    GLM 5.1                     2.635       0.0759   medium
153   Command Code GOAT                  USD 10    DeepSeek V4 Flash Fast      2.624       0.03811  medium
154   Command Code GOAT                  USD 10    GLM 5.2                     2.341       0.04272  medium
155   GLM Coding Lite (v3 ¥118) 忙时     CNY 118   GLM 5.3                     2.12        0.08211  high
156   GLM Coding Lite (v2 ¥49) 忙时      CNY 49    GLM 5.3                     2.12        0.0341   high
157   OpenCode Go                        USD 10    GLM 5.2                     2.007       0.04983  medium
158   OpenCode Go                        USD 10    GLM 5.1                     2.007       0.04983  medium
159   Ollama Pro                         USD 20    GLM 5.3                     2.007       0.09965  medium
160   Ollama Pro                         USD 20    GLM 5.2                     2.007       0.09965  medium
161   阿里云百炼 Coding Plan Pro         CNY 200   Qwen3.7 Plus                1.98        0.14901  medium
162   Alibaba Cloud Coding Plan Pro      USD 50    Qwen3.7 Plus                1.98        0.25253  low
163   Command Code GOAT                  USD 10    Gemini 3.8 Flash            1.954       0.05118  medium
164   Command Code GOAT                  USD 10    Gemini 3.7 Flash            1.954       0.05118  medium
165   Command Code GOAT                  USD 10    Inkling Small               1.779       0.05621  medium
166   ChatGPT Plus                       USD 20    GPT-6 Astra                 1.59        0.12579  high
167   SuperGrok Lite                     USD 10    Grok 4.6                    1.5         0.06667  low
168   Ollama Pro                         USD 20    Kimi K3                     1.465       0.13652  medium
169   Command Code GOAT                  USD 10    Nemotron 3 Ultra            1.446       0.06916  medium
170   Command Code GOAT                  USD 10    Muse Spark 1.3              1.064       0.09398  medium
171   Command Code GOAT                  USD 10    Muse Spark 1.2              1.064       0.09398  medium
172   Command Code GOAT                  USD 10    GPT 5.6 Sol                 1           0.1      medium
173   Command Code GOAT                  USD 10    Inkling                     0.993       0.1007   medium
174   Kimi 会员 49 †                     CNY 49    Kimi K2.7 Code              0.78        0.09267  medium
175   Command Code GOAT                  USD 10    GLM 5.3                     0.669       0.14948  medium
176   Command Code GOAT                  USD 10    Qwen3.8 Max                 0.65        0.15385  medium
177   Command Code GOAT                  USD 10    Qwen3.8 Max 0902            0.65        0.15385  medium
178   Command Code GOAT                  USD 10    Qwen3.7 Max                 0.581       0.17212  medium
179   OpenCode Go                        USD 10    Qwen3.7 Max                 0.529       0.18904  medium
180   OpenCode Go                        USD 10    GLM 5.3                     0.502       0.1992   medium
181   Command Code GOAT                  USD 10    Kimi K3                     0.488       0.20492  medium
182   OpenCode Go                        USD 10    Qwen3.8 Max                 0.487       0.20534  medium
183   Command Code GOAT                  USD 10    Kimi K2.7 Code HighSpeed    0.455       0.21978  medium
184   OpenCode Go                        USD 10    Kimi K3                     0.366       0.27322  medium
185   Command Code GOAT                  USD 10    Grok 4.5                    0.363       0.27548  medium
186   Command Code GOAT                  USD 10    Grok 4.6                    0.363       0.27548  medium
187   Command Code GOAT                  USD 10    GLM 5.2 Fast                0.34        0.29412  medium
188   OpenCode Go                        USD 10    Grok 4.6                    0.272       0.36765  medium
