Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                Monthly fee  Served model                Monthly tokens (B)  USD/MTok  Confidence
140  Command Code GOAT                   USD 10       Qwen3.7 Plus                0.3579              0.02794   medium
141  OpenCode Go                         USD 10       DeepSeek V4 Pro             0.3524              0.02838   medium
142  GLM Coding Lite (v3 ¥118) Midpoint  CNY 118      GLM 5.3                     0.317               0.05491   high
143  GLM Coding Lite (v2 ¥49) Midpoint   CNY 49       GLM 5.3                     0.317               0.0228    high
144  OpenCode Go                         USD 10       Kimi K2.6                   0.3151              0.03174   medium
145  Kimi CN CNY 99 †                    CNY 99       Kimi K2.7 Code              0.314               0.04651   medium
146  Command Code GOAT                   USD 10       Hy4 Preview                 0.2957              0.03382   medium
147  Kimi CN CNY 99 †                    CNY 99       Kimi K3                     0.29                0.05036   medium
148  Command Code GOAT                   USD 10       Qwen3.6 Plus                0.2779              0.03598   medium
149  OpenCode Go                         USD 10       Kimi K2.7 Code              0.2731              0.03662   medium
150  Command Code GOAT                   USD 10       Kimi K2.7 Code              0.2731              0.03662   medium
151  Ollama Pro                          USD 20       Kimi K2.7 Code              0.2731              0.07323   medium
152  Ollama Pro                          USD 20       GLM 5.1                     0.2635              0.0759    medium
153  Command Code GOAT                   USD 10       DeepSeek V4 Flash Fast      0.2624              0.03811   medium
154  Command Code GOAT                   USD 10       GLM 5.2                     0.2341              0.04272   medium
155  GLM Coding Lite (v3 ¥118) Peak      CNY 118      GLM 5.3                     0.212               0.08211   high
156  GLM Coding Lite (v2 ¥49) Peak       CNY 49       GLM 5.3                     0.212               0.0341    high
157  OpenCode Go                         USD 10       GLM 5.2                     0.2007              0.04983   medium
158  OpenCode Go                         USD 10       GLM 5.1                     0.2007              0.04983   medium
159  Ollama Pro                          USD 20       GLM 5.3                     0.2007              0.09965   medium
160  Ollama Pro                          USD 20       GLM 5.2                     0.2007              0.09965   medium
161  Alibaba Cloud CN Coding Plan Pro    CNY 200      Qwen3.7 Plus                0.198               0.14901   medium
162  Alibaba Cloud Coding Plan Pro       USD 50       Qwen3.7 Plus                0.198               0.25253   low
163  Command Code GOAT                   USD 10       Gemini 3.8 Flash            0.1954              0.05118   medium
164  Command Code GOAT                   USD 10       Gemini 3.7 Flash            0.1954              0.05118   medium
165  Command Code GOAT                   USD 10       Inkling Small               0.1779              0.05621   medium
166  ChatGPT Plus                        USD 20       GPT-6 Astra                 0.159               0.12579   high
167  SuperGrok Lite                      USD 10       Grok 4.6                    0.15                0.06667   low
168  Ollama Pro                          USD 20       Kimi K3                     0.1465              0.13652   medium
169  Command Code GOAT                   USD 10       Nemotron 3 Ultra            0.1446              0.06916   medium
170  Command Code GOAT                   USD 10       Muse Spark 1.3              0.1064              0.09398   medium
171  Command Code GOAT                   USD 10       Muse Spark 1.2              0.1064              0.09398   medium
172  Command Code GOAT                   USD 10       GPT 5.6 Sol                 0.1                 0.1       medium
173  Command Code GOAT                   USD 10       Inkling                     0.0993              0.1007    medium
174  Kimi CN CNY 49 †                    CNY 49       Kimi K2.7 Code              0.078               0.09267   medium
175  Command Code GOAT                   USD 10       GLM 5.3                     0.0669              0.14948   medium
176  Command Code GOAT                   USD 10       Qwen3.8 Max                 0.065               0.15385   medium
177  Command Code GOAT                   USD 10       Qwen3.8 Max 0902            0.065               0.15385   medium
178  Command Code GOAT                   USD 10       Qwen3.7 Max                 0.0581              0.17212   medium
179  OpenCode Go                         USD 10       Qwen3.7 Max                 0.0529              0.18904   medium
180  OpenCode Go                         USD 10       GLM 5.3                     0.0502              0.1992    medium
181  Command Code GOAT                   USD 10       Kimi K3                     0.0488              0.20492   medium
182  OpenCode Go                         USD 10       Qwen3.8 Max                 0.0487              0.20534   medium
183  Command Code GOAT                   USD 10       Kimi K2.7 Code HighSpeed    0.0455              0.21978   medium
184  OpenCode Go                         USD 10       Kimi K3                     0.0366              0.27322   medium
185  Command Code GOAT                   USD 10       Grok 4.5                    0.0363              0.27548   medium
186  Command Code GOAT                   USD 10       Grok 4.6                    0.0363              0.27548   medium
187  Command Code GOAT                   USD 10       GLM 5.2 Fast                0.034               0.29412   medium
188  OpenCode Go                         USD 10       Grok 4.6                    0.0272              0.36765   medium
