Subscription value | What the allowance is worth in monthly fees at API list price
Multiple = the allowance priced at official metered rates ÷ the monthly fee; 1x is break-even, below 1x the subscription costs more than buying the same tokens on the API
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
API cost/mo = this row's adopted monthly allowance priced at the provider's official metered rates (same standard workload weighting); the bracketed figure is that amount ÷ the monthly fee, i.e. how many times the subscription fee the same tokens would cost at list price. Below 1× means the subscription costs more than buying the same tokens on the API. * = the rate is not a first-party rate card (vendor page is JS-rendered or the model is open-weight; a named gateway or tracker is used, low confidence); ‡ = this row's allowance was itself derived from a sibling model by a list-price ratio, so the figure repeats that row and is not independent evidence for this model. - = no defensible public rate found; left blank rather than invented. Cache writes are not modeled, so the figure is a floor.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                Monthly fee  Served model                  Monthly tokens (B)  USD/MTok  API cost/mo       Confidence
27   ChatGPT Pro 5x                      USD 100      GPT 5.6 Sol                   3.08                0.03247   1,682 (16.82×)    medium
28   ChatGPT Plus                        USD 20       GPT 5.6 Terra                 1.2012              0.01665   336 (16.82×)‡     medium
29   ChatGPT Plus                        USD 20       GPT 5.5                       0.4805              0.04162   336 (16.82×)‡     medium
30   ChatGPT Pro 5x                      USD 100      GPT 5.6 Terra                 6.006               0.01665   1,682 (16.82×)‡   medium
31   ChatGPT Pro 5x                      USD 100      GPT 5.5                       2.4024              0.04163   1,682 (16.82×)‡   medium
32   OpenCode Go                         USD 10       MiMo V2.5                     8.9286              0.00112   158 (15.75×)*     medium
33   OpenCode Go                         USD 10       LongCat 2.0                   3.6364              0.00275   149 (14.94×)*     medium
34   Cursor Ultra                        USD 200      Grok 4.5                      7.737               0.02585   2,758 (13.79×)    medium
35   GLM Coding Lite (v2 ¥49) Midpoint   CNY 49       GLM 5.3                       0.317               0.0228    95 (13.11×)       high
36   Cursor Pro                          USD 20       Grok 4.6                      0.47                0.04255   259 (12.96×)      medium
37   Cursor Pro (Standard)               USD 20       Composer 2.5                  1.2084              0.01655   259 (12.96×)‡     medium
38   GLM Coding Max (v2 ¥469) Peak       CNY 469      GLM 5.3                       2.963               0.02335   886 (12.8×)       high
39   Claude Max 5x (9/14+)               USD 100      Claude Fable 5                0.9235              0.10828   1,261 (12.61×)    low
40   Command Code GOAT                   USD 10       DeepSeek V4 Flash             4.3274              0.00231   120 (12×)         medium
41   GLM Coding Pro (v2 ¥149) Off-peak   CNY 149      GLM 5.3 Flash                 7.699               0.00285   264 (11.99×)      high
42   Kimi CN CNY 199 †                   CNY 199      Kimi K2.7 Code                1.568               0.01872   344 (11.73×)      medium
43   SuperGrok Plus                      USD 100      Grok 4.6                      2.04                0.04902   1,125 (11.25×)    medium
44   GLM Coding Max (v3 ¥1078) Off-peak  CNY 1078     GLM 5.3                       5.926               0.02684   1,772 (11.14×)    high
45   ChatGPT Plus                        USD 20       GPT 5.6 Luna                  7.511               0.00266   210 (10.52×)      high
46   ChatGPT Pro 5x                      USD 100      GPT 5.6 Luna                  37.556              0.00266   1,052 (10.52×)    medium
47   OpenCode Go                         USD 10       Qwen3.7 Plus                  1.1278              0.00887   104 (10.4×)       medium
48   Kimi CN CNY 699 †                   CNY 699      Kimi K2.7 Code                4.704               0.02192   1,033 (10.02×)    medium
49   GLM Coding Pro (v3 ¥538) Off-peak   CNY 538      GLM 5.3                       2.54                0.03125   759 (9.57×)       high
50   SuperGrok                           USD 30       Grok 4.6                      0.509               0.05894   281 (9.36×)       high
51   SuperGrok Heavy                     USD 300      Grok 4.6                      5.09                0.05894   2,807 (9.36×)     medium
52   GLM Coding Pro (v2 ¥149) Midpoint   CNY 149      GLM 5.3 Flash                 5.774               0.00381   198 (8.99×)       high
53   GLM Coding Max (v2 ¥469) Off-peak   CNY 469      GLM 5.3 Flash                 17.965              0.00385   615 (8.89×)       high
54   GLM Coding Lite (v2 ¥49) Peak       CNY 49       GLM 5.3                       0.212               0.0341    63 (8.77×)        high
55   Cursor Ultra (Fast)                 USD 200      Grok 4.6                      3.074               0.06506   1,695 (8.48×)     high
56   Command Code GOAT                   USD 10       Qwen3.8 27B                   1.2048              0.0083    84 (8.43×)        medium
57   GLM Coding Max (v3 ¥1078) Midpoint  CNY 1078     GLM 5.3                       4.445               0.03578   1,329 (8.36×)     high
58   SuperGrok Lite                      USD 10       Grok 4.6                      0.15                0.06667   83 (8.27×)        low
59   Claude Max 20x (9/14+)              USD 200      Claude Fable 5                1.2077              0.1656    1,649 (8.24×)     low
60   Kimi CN CNY 99 †                    CNY 99       Kimi K3                       0.29                0.05036   119 (8.13×)       medium
61   Command Code GOAT                   USD 10       MiMo V2.5                     4.4643              0.00224   79 (7.88×)*       medium
62   Cursor Ultra (Composer Fast)        USD 200      Composer 2.5                  7.0587              0.02833   1,514 (7.57×)     medium
63   GLM Coding Lite (v3 ¥118) Off-peak  CNY 118      GLM 5.3                       0.423               0.04115   126 (7.26×)       high
64   GLM Coding Pro (v3 ¥538) Midpoint   CNY 538      GLM 5.3                       1.905               0.04166   570 (7.18×)       high
65   MiniMax Token Plan Ultra            CNY 469      MiniMax M3                    7.1                 0.00974   491 (7.1×)        high
66   MiniMax Token Plan Max              CNY 119      MiniMax M3                    1.8                 0.00975   124 (7.09×)       high
67   Command Code GOAT                   USD 10       GLM 5.2                       0.2341              0.04272   70 (7×)           medium
68   Cursor Pro+ (Composer Fast)         USD 60       Composer 2.5                  1.8823              0.03188   404 (6.73×)       low
69   GLM Coding Max (v2 ¥469) Midpoint   CNY 469      GLM 5.3 Flash                 13.473              0.00514   461 (6.66×)       high
70   MiniMax Token Plan Max (Global)     USD 55       MiniMax M3                    5.1                 0.01078   353 (6.41×)       high
71   GLM Coding Lite (v2 ¥49) Off-peak   CNY 49       GLM 5.3 Flash                 1.283               0.00563   44 (6.07×)        high
72   SuperGrok Heavy                     USD 300      Grok 4.5                      5.09                0.05894   1,815 (6.05×)     medium
73   SuperGrok                           USD 30       Grok 4.5                      0.509               0.05894   181 (6.05×)       medium
74   OpenCode Go                         USD 10       GLM 5.2                       0.2007              0.04983   60 (6×)           medium
75   OpenCode Go                         USD 10       GLM 5.1                       0.2007              0.04983   60 (6×)           medium
76   OpenCode Go                         USD 10       Kimi K2.7 Code                0.2731              0.03662   60 (6×)           medium
77   OpenCode Go                         USD 10       Kimi K2.6                     0.3151              0.03174   60 (6×)           medium
78   OpenCode Go                         USD 10       MiniMax M3                    0.8677              0.01152   60 (6×)           medium
79   OpenCode Go                         USD 10       MiniMax M2.7                  0.8677              0.01152   60 (6×)           medium
80   OpenCode Go                         USD 10       Muse Spark 1.2 Contributor    12.5                0.0008    60 (6×)*          medium
81   OpenCode Go                         USD 10       Qwen3.6 Plus                  0.8571              0.01167   60 (6×)           medium
82   OpenCode Go                         USD 10       DeepSeek V4 Flash             2.1637              0.00462   60 (6×)           medium
83   Command Code GOAT                   USD 10       Kimi K2.7 Code                0.2731              0.03662   60 (6×)           medium
84   Ollama Pro                          USD 20       DeepSeek V4 Flash             4.3274              0.00462   120 (6×)          medium
85   Ollama Pro                          USD 20       DeepSeek V4 Pro               1.4094              0.01419   120 (6×)          medium
86   Ollama Max                          USD 100      DeepSeek V4 Flash             21.6372             0.00462   600 (6×)          medium
87   Ollama Max                          USD 100      DeepSeek V4 Pro               7.0472              0.01419   600 (6×)          medium
88   GLM Coding Pro (v2 ¥149) Peak       CNY 149      GLM 5.3 Flash                 3.85                0.00571   132 (5.99×)       high
89   MiniMax Token Plan Plus             CNY 49       MiniMax M3                    0.6                 0.01205   41 (5.74×)        high
90   MiniMax Token Plan Plus             CNY 49       MiniMax M2.7                  0.6                 0.01205   41 (5.74×)‡       medium
91   GLM Coding Max (v3 ¥1078) Peak      CNY 1078     GLM 5.3                       2.963               0.05367   886 (5.57×)       high
92   Command Code GOAT                   USD 10       GPT 5.6 Sol                   0.1                 0.1       55 (5.46×)        medium
93   GLM Coding Lite (v3 ¥118) Midpoint  CNY 118      GLM 5.3                       0.317               0.05491   95 (5.44×)        high
94   MiniMax Token Plan Plus (Global)    USD 22       MiniMax M3                    1.7                 0.01294   118 (5.34×)       high
95   MiniMax Token Plan Plus (Global)    USD 22       MiniMax M2.7                  1.7                 0.01294   118 (5.34×)‡      medium
96   MiniMax Token Plan Ultra (Global)   USD 132      MiniMax M3                    9.8                 0.01347   678 (5.13×)       high
97   GLM Coding Pro (v3 ¥538) Peak       CNY 538      GLM 5.3                       1.27                0.06249   380 (4.78×)       high
98   Kimi CN CNY 99 †                    CNY 99       Kimi K2.7 Code                0.314               0.04651   69 (4.72×)        medium
99   Command Code GOAT                   USD 10       MiniMax M3                    0.6797              0.01471   47 (4.7×)         medium
100  Cursor Pro (Composer Fast)          USD 20       Composer 2.5                  0.4288              0.04664   92 (4.6×)         medium
101  GLM Coding Lite (v2 ¥49) Midpoint   CNY 49       GLM 5.3 Flash                 0.962               0.00751   33 (4.55×)        high
102  GLM Coding Max (v2 ¥469) Peak       CNY 469      GLM 5.3 Flash                 8.982               0.0077    307 (4.44×)       high
103  Command Code GOAT                   USD 10       GLM 5.3 Flash                 1.1687              0.00856   40 (4×)           medium
104  Command Code GOAT                   USD 10       DeepSeek V4 Pro               0.4698              0.02129   40 (4×)           medium
105  Command Code GOAT                   USD 10       DeepSeek V4 Flash Vision Exp  1.4425              0.00693   40 (4×)           medium
106  Ollama Pro                          USD 20       GLM 5.1                       0.2635              0.0759    79 (3.94×)        medium
107  Ollama Max                          USD 100      GLM 5.1                       1.3175              0.0759    394 (3.94×)       medium
108  GLM Coding Max (v3 ¥1078) Off-peak  CNY 1078     GLM 5.3 Flash                 17.965              0.00885   615 (3.87×)       high
109  GLM Coding Lite (v3 ¥118) Peak      CNY 118      GLM 5.3                       0.212               0.08211   63 (3.64×)        high
110  OpenCode Go                         USD 10       MiniMax M2.5                  0.8677              0.01152   35 (3.46×)        medium
111  GLM Coding Pro (v3 ¥538) Off-peak   CNY 538      GLM 5.3 Flash                 7.699               0.01031   264 (3.32×)       high
112  Command Code GOAT                   USD 10       Qwen3.7 Plus                  0.3579              0.02794   33 (3.3×)         medium
113  GLM Coding Lite (v2 ¥49) Peak       CNY 49       GLM 5.3 Flash                 0.642               0.01126   22 (3.04×)        high
114  OpenCode Go                         USD 10       DeepSeek V4 Pro               0.3524              0.02838   30 (3×)           medium
115  OpenCode Go                         USD 10       DeepSeek V4 Flash Vision Exp  1.0819              0.00924   30 (3×)           medium
116  OpenCode Go                         USD 10       Hy4 Preview                   0.4436              0.02254   30 (3×)           medium
117  Ollama Pro                          USD 20       GLM 5.3                       0.2007              0.09965   60 (3×)           medium
118  Ollama Pro                          USD 20       GLM 5.3 Flash                 1.7531              0.01141   60 (3×)           medium
119  Ollama Pro                          USD 20       GLM 5.2                       0.2007              0.09965   60 (3×)           medium
120  Ollama Pro                          USD 20       Kimi K3                       0.1465              0.13652   60 (3×)           medium
121  Ollama Pro                          USD 20       Kimi K2.7 Code                0.2731              0.07323   60 (3×)           medium
122  Ollama Pro                          USD 20       MiniMax M2.7                  0.8677              0.02305   60 (3×)           medium
123  Ollama Max                          USD 100      GLM 5.3                       1.0033              0.09967   300 (3×)          medium
124  Ollama Max                          USD 100      GLM 5.3 Flash                 8.7655              0.01141   300 (3×)          medium
125  Ollama Max                          USD 100      GLM 5.2                       1.0033              0.09967   300 (3×)          medium
126  Ollama Max                          USD 100      Kimi K3                       0.7326              0.1365    300 (3×)          medium
127  Ollama Max                          USD 100      Kimi K2.7 Code                1.3657              0.07322   300 (3×)          medium
128  Ollama Max                          USD 100      MiniMax M2.7                  4.3384              0.02305   300 (3×)          medium
129  GLM Coding Max (v3 ¥1078) Midpoint  CNY 1078     GLM 5.3 Flash                 13.473              0.0118    461 (2.9×)        high
130  OpenCode Go                         USD 10       Qwen3.8 Flash                 1.4656              0.00682   29 (2.86×)        medium
131  GLM Coding Lite (v3 ¥118) Off-peak  CNY 118      GLM 5.3 Flash                 1.283               0.01357   44 (2.52×)        high
132  GLM Coding Pro (v3 ¥538) Midpoint   CNY 538      GLM 5.3 Flash                 5.774               0.01375   198 (2.49×)       high
133  Kimi CN CNY 49 †                    CNY 49       Kimi K2.7 Code                0.078               0.09267   17 (2.37×)        medium
134  Command Code GOAT                   USD 10       Gemini 3.8 Flash              0.1954              0.05118   20 (2×)           medium
135  Command Code GOAT                   USD 10       GPT 5.6 Luna                  0.7143              0.014     20 (2×)           medium
136  Command Code GOAT                   USD 10       Hy4 Preview                   0.2957              0.03382   20 (2×)           medium
137  Command Code GOAT                   USD 10       GLM 5.3                       0.0669              0.14948   20 (2×)           medium
138  Command Code GOAT                   USD 10       Muse Spark 1.2                0.1064              0.09398   20 (2×)*          medium
139  Command Code GOAT                   USD 10       Muse Spark 1.2 Contributor    4.1667              0.0024    20 (2×)*          medium
140  Command Code GOAT                   USD 10       Kimi K3                       0.0488              0.20492   20 (2×)           medium
141  Command Code GOAT                   USD 10       Grok 4.6                      0.0363              0.27548   20 (2×)           medium
142  Command Code GOAT                   USD 10       Gemini 3.7 Flash              0.1954              0.05118   20 (2×)           medium
143  Command Code GOAT                   USD 10       Qwen3.6 Plus                  0.2779              0.03598   19 (1.94×)        medium
144  GLM Coding Max (v3 ¥1078) Peak      CNY 1078     GLM 5.3 Flash                 8.982               0.01771   307 (1.93×)       high
145  Command Code GOAT                   USD 10       Hy3                           1.7873              0.0056    19 (1.91×)*       medium
146  GLM Coding Lite (v3 ¥118) Midpoint  CNY 118      GLM 5.3 Flash                 0.962               0.0181    33 (1.89×)        high
147  Command Code GOAT                   USD 10       Qwen3.8 Flash                 0.9669              0.01034   19 (1.89×)        medium
148  Command Code GOAT                   USD 10       Qwen3.7 Max                   0.0581              0.17212   19 (1.88×)        medium
149  OpenCode Go                         USD 10       Qwen3.7 Max                   0.0529              0.18904   17 (1.71×)        medium
150  Command Code GOAT                   USD 10       Qwen3.8 Max                   0.065               0.15385   17 (1.68×)        medium
151  Command Code GOAT                   USD 10       Qwen3.8 Max 0902              0.065               0.15385   17 (1.68×)        medium
152  Command Code GOAT                   USD 10       Nemotron 3 Ultra              0.1446              0.06916   17 (1.68×)*       medium
153  GLM Coding Pro (v3 ¥538) Peak       CNY 538      GLM 5.3 Flash                 3.85                0.02061   132 (1.66×)       high
154  OpenCode Go                         USD 10       Hy3                           1.532               0.00653   16 (1.64×)*       medium
155  OpenCode Go                         USD 10       Grok 4.6                      0.0272              0.36765   15 (1.5×)         medium
156  OpenCode Go                         USD 10       GPT 5.6 Luna                  0.5357              0.01867   15 (1.5×)         medium
157  OpenCode Go                         USD 10       GLM 5.3 Flash                 0.4383              0.02282   15 (1.5×)         medium
158  OpenCode Go                         USD 10       GLM 5.3                       0.0502              0.1992    15 (1.5×)         medium
159  OpenCode Go                         USD 10       Kimi K3                       0.0366              0.27322   15 (1.5×)         medium
160  Ollama Pro                          USD 20       MiniMax M3                    0.4338              0.0461    30 (1.5×)         medium
161  Ollama Max                          USD 100      MiniMax M3                    2.1692              0.0461    150 (1.5×)        medium
162  Command Code GOAT                   USD 10       Grok 4.5                      0.0363              0.27548   13 (1.29×)        medium
163  GLM Coding Lite (v3 ¥118) Peak      CNY 118      GLM 5.3 Flash                 0.642               0.02711   22 (1.26×)        high
164  OpenCode Go                         USD 10       Qwen3.8 Max                   0.0487              0.20534   13 (1.26×)        medium
165  Command Code GOAT                   USD 10       Step 3.7 Flash                0.4226              0.02366   12 (1.18×)*       medium
166  Command Code GOAT                   USD 10       Step 3.5 Flash                0.8811              0.01135   10 (1.04×)*       medium
167  Alibaba Cloud CN Coding Plan Pro    CNY 200      Qwen3.7 Plus                  0.198               0.14901   18 (0.62×)        medium
168  Alibaba Cloud Coding Plan Pro       USD 50       Qwen3.7 Plus                  0.198               0.25253   18 (0.37×)        low
