Effective token price | Subscriptions and APIs compared
Dollar/credit and API rates use 97.5% cache / 2.15% input / 0.35% output; direct total-token measurements are not normalized
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                Monthly fee    Served model                Monthly tokens (B)  USD/MTok  Confidence
137  Command Code GOAT                   USD 10         GLM 5.2                     0.2341              0.04272   medium
138  Ollama Pro                          USD 20         MiniMax M3                  0.4338              0.0461    medium
139  Ollama Max                          USD 100        MiniMax M3                  2.1692              0.0461    medium
140  Kimi CN CNY 99 †                    CNY 99         Kimi K2.7 Code              0.314               0.04651   medium
141  Cursor Pro (Composer Fast)          USD 20         Composer 2.5                0.4288              0.04664   medium
142  SuperGrok Plus                      USD 100        Grok 4.6                    2.04                0.04902   medium
143  OpenCode Go                         USD 10         GLM 5.2                     0.2007              0.04983   medium
144  OpenCode Go                         USD 10         GLM 5.1                     0.2007              0.04983   medium
145  Kimi CN CNY 99 †                    CNY 99         Kimi K3                     0.29                0.05036   medium
146  Command Code GOAT                   USD 10         Gemini 3.8 Flash            0.1954              0.05118   medium
147  Command Code GOAT                   USD 10         Gemini 3.7 Flash            0.1954              0.05118   medium
148  GLM Coding Max (v3 ¥1078) Peak      CNY 1078       GLM 5.3                     2.963               0.05367   high
149  GLM Coding Lite (v3 ¥118) Midpoint  CNY 118        GLM 5.3                     0.317               0.05491   high
150  Command Code GOAT                   USD 10         Inkling Small               0.1779              0.05621   medium
151  SuperGrok                           USD 30         Grok 4.6                    0.509               0.05894   high
152  SuperGrok Heavy                     USD 300        Grok 4.6                    5.09                0.05894   medium
153  SuperGrok Heavy                     USD 300        Grok 4.5                    5.09                0.05894   medium
154  SuperGrok                           USD 30         Grok 4.5                    0.509               0.05894   medium
155  GLM Coding Pro (v3 ¥538) Peak       CNY 538        GLM 5.3                     1.27                0.06249   high
156  Cursor Ultra (Fast)                 USD 200        Grok 4.6                    3.074               0.06506   high
157  SuperGrok Lite                      USD 10         Grok 4.6                    0.15                0.06667   low
158  Command Code GOAT                   USD 10         Nemotron 3 Ultra            0.1446              0.06916   medium
159  Ollama Max                          USD 100        Kimi K2.7 Code              1.3657              0.07322   medium
160  Ollama Pro                          USD 20         Kimi K2.7 Code              0.2731              0.07323   medium
161  Ollama Pro                          USD 20         GLM 5.1                     0.2635              0.0759    medium
162  Ollama Max                          USD 100        GLM 5.1                     1.3175              0.0759    medium
163  GLM Coding Lite (v3 ¥118) Peak      CNY 118        GLM 5.3                     0.212               0.08211   high
164  DeepSeek V4 Pro API Peak            Pay-as-you-go  DeepSeek V4 Pro             -                   0.08514   high
165  Kimi CN CNY 49 †                    CNY 49         Kimi K2.7 Code              0.078               0.09267   medium
166  Command Code GOAT                   USD 10         Muse Spark 1.3              0.1064              0.09398   medium
167  Command Code GOAT                   USD 10         Muse Spark 1.2              0.1064              0.09398   medium
168  Ollama Pro                          USD 20         GLM 5.3                     0.2007              0.09965   medium
169  Ollama Pro                          USD 20         GLM 5.2                     0.2007              0.09965   medium
170  Ollama Max                          USD 100        GLM 5.3                     1.0033              0.09967   medium
171  Ollama Max                          USD 100        GLM 5.2                     1.0033              0.09967   medium
172  Command Code GOAT                   USD 10         GPT 5.6 Sol                 0.1                 0.1       medium
173  Command Code GOAT                   USD 10         Inkling                     0.0993              0.1007    medium
174  Claude Max 5x (9/14+)               USD 100        Claude Fable 5              0.9235              0.10828   low
175  Devin Max                           USD 200        GPT-6 Astra                 1.624               0.12315   high
176  ChatGPT Plus                        USD 20         GPT-6 Astra                 0.159               0.12579   high
177  Ollama Max                          USD 100        Kimi K3                     0.7326              0.1365    medium
178  Ollama Pro                          USD 20         Kimi K3                     0.1465              0.13652   medium
179  Alibaba Cloud CN Coding Plan Pro    CNY 200        Qwen3.7 Plus                0.198               0.14901   medium
180  Command Code GOAT                   USD 10         GLM 5.3                     0.0669              0.14948   medium
181  Command Code GOAT                   USD 10         Qwen3.8 Max                 0.065               0.15385   medium
182  Command Code GOAT                   USD 10         Qwen3.8 Max 0902            0.065               0.15385   medium
183  Claude Max 20x (9/14+)              USD 200        Claude Fable 5              1.2077              0.1656    low
184  Command Code GOAT                   USD 10         Qwen3.7 Max                 0.0581              0.17212   medium
185  OpenCode Go                         USD 10         Qwen3.7 Max                 0.0529              0.18904   medium
186  OpenCode Go                         USD 10         GLM 5.3                     0.0502              0.1992    medium
187  Command Code GOAT                   USD 10         Kimi K3                     0.0488              0.20492   medium
188  OpenCode Go                         USD 10         Qwen3.8 Max                 0.0487              0.20534   medium
189  Command Code GOAT                   USD 10         Kimi K2.7 Code HighSpeed    0.0455              0.21978   medium
190  Alibaba Cloud Coding Plan Pro       USD 50         Qwen3.7 Plus                0.198               0.25253   low
191  Claude Sonnet 5 API                 Pay-as-you-go  Claude Sonnet 5             -                   0.273     high
192  OpenCode Go                         USD 10         Kimi K3                     0.0366              0.27322   medium
193  Command Code GOAT                   USD 10         Grok 4.5                    0.0363              0.27548   medium
194  Command Code GOAT                   USD 10         Grok 4.6                    0.0363              0.27548   medium
195  GPT-5.6 Terra API                   Pay-as-you-go  GPT 5.6 Terra               -                   0.28      high
196  Command Code GOAT                   USD 10         GLM 5.2 Fast                0.034               0.29412   medium
197  OpenCode Go                         USD 10         Grok 4.6                    0.0272              0.36765   medium
198  GPT-5.6 Sol API                     Pay-as-you-go  GPT 5.6 Sol                 -                   0.546     high
199  Grok 4.6 API (<200k)                Pay-as-you-go  Grok 4.6                    -                   0.5515    high
200  Claude Opus 5 API                   Pay-as-you-go  Claude Opus 5               -                   0.6825    high
201  Claude Fable 5 API                  Pay-as-you-go  Claude Fable 5              -                   1.365     high
